section,questions,,,, ,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,"In the movie ""Ted"", who does the voice of the bear?",Option a: Sam J. Jones,Option b: Joel McHale,Option c: Mark Wahlberg,Option d: Seth McFarlane,,d,,,,,,,,,,,,,,
,What is Rita's drink of choice in 'Groundhog Day'?,Option a: Martini,Option b: Red Wine,Option c: Sweet Vermouth,Fino Sherry,,c,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Horror,What was the first horror movie in color?,The Curse of Frankenstein,Option b: The Thing,Option c: The Exorcist,Option d: Poltergist,,a,,,,,,,,,,,,,,
,What horror movie was the debut of Johnny Depp?,Option a: Tusk,Option b: Black Mass,Option c: A Nightmare On Elm Street,Option d: Secret Window,,c,,,,,,,,,,,,,,
,What color is present in almost every shot of The Shining?,Option a: Black,Option b: White,Option c: Blue,Option d: Red,,d,,,,,,,,,,,,,,
,What is the famous quote from The Sixth Sense?,"Option a: ""Here's Johnny""","Option b: ""I See Dead People""","Option c: ""Be Afraid""","Option d: ""The're Here""",,b,,,,,,,,,,,,,,
,How many Saw movies are there?,Option a: 9,Option b: 5,Option c: 12,Option d: 7,,a,,,,,,,,,,,,,,
,What color jumpsuit did the doppelgangers wear in Jordan Peele's Us?,Option a: Black,Option b: Orange,Option c: Red,Option d: Yellow,,c,,,,,,,,,,,,,,
,In which movie do we see a high school girl (Drew Barrymore) get increasingly threatening phone calls?,Option a: Halloween,Option b: Scream,Option c: The Ninth Gate,Option d: Run,,b,,,,,,,,,,,,,,
,Which classic horror film stars a serial killer dressed as William Shatner?,Option a: Us,Option b: Halloween,Option c: The Purge,Option d: Happy Death Day,,b,,,,,,,,,,,,,,
,"What eerie film is credited with coining the notorious phrase, ""Do you like horror movies?'",Option a: Get Out,Option b: The boy,Option c: Nightmare On Elm Street,Option d: Scream,,d,,,,,,,,,,,,,,
,In which film did Annabelle the doll make her debut?,Option a: Annabelle,Option b: The Conjuring,Option c: The Nun,Option d: Child's Play,,b,,,,,,,,,,,,,,
,What arms does Leatherface prefer?,Option a: Sledge Hammer,Option b: Axe,Option c: Hook,Option d: Chainsaw,,d,,,,,,,,,,,,,,
,How many Friday the 13th movies are there?,Option a: 13,Option b: 10,Option c: 12,Option d: 15,,c,,,,,,,,,,,,,,
,What is the name of the creatures from the Predator franchise?,Option a: Yautja,Option b: Banshee,Option c: Chimera,Option d: Chupacabra,,a,,,,,,,,,,,,,,
,What is Chucky's real name within the Child's Play film series?,Option a: Caleb Ray,Option b: Chuck Ray,Option c: Colton Ray,Option d: Charles Ray,,d,,,,,,,,,,,,,,
,"In Scream, what is Randy's number one rule to survive a horror movie?","Option a: ""Don't Go Alone""","Option b: ""Never Say you'll be back""","Option c: ""Dont Have Sex""","Option d: ""Never trust Your Love Interest""",,c,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
General,"What does ""www"" stand for in a website browser?",Option a: World Wide Web,Option b: Wa Wa Wubsy,Option c: Wawa,"Option d: ""Wait Waldo Wait""",,a,,,,,,,,,,,,,,
,How long is an Olympic swimming pool (in meters)?,Option a: 55 Meters,Option b: 30 Meters,Option c: 50 Meters,Option d: 70 Meters,,c,,,,,,,,,,,,,,
,"What is ""cynophobia""?",Option a: Fear Of Rabbits,Option b: Fear Of Cats,Option c: Fear Of Holes,Option d: Fear Of Dogs,,d,,,,,,,,,,,,,,
,How many languages are written from right to left?,Option a: 27,Option b: 12,Option c: 59,Option d: 42,,b,,,,,,,,,,,,,,
,Which animal can be seen on the Porsche logo?,Option a: Horse,Option b: Bull,Option c: Cheetah,Option d: Camel,,a,,,,,,,,,,,,,,
,What is the name of the largest ocean on earth?,Option a: Indian Ocean,Option b: Atlantic Ocean,Option c: Pacific Ocean,Option d: Antarctic Ocean,,c,,,,,,,,,,,,,,
,Who was the first woman pilot to fly solo across the Atlantic?,Option a: Harriet Quimby,Option b: Amelia Earhart,Option c: Amy Johnson,Option d: Bessie Coleman,,b,,,,,,,,,,,,,,
,Which country consumes the most chocolate per capita?,Option a: Japan,Option b: Switzerland,Option c: United States,Option d: Germany,,b,,,,,,,,,,,,,,
,What is the rarest M&M color?,Option a: Blue,Option b: Red,Option c: Green,Option d: Brown,,d,,,,,,,,,,,,,,
,What was the first soft drink in space?,Option a: Sprite,Option b: Coca Cola,Option c: Fanta,Option d: Ginger Ale,,b,,,,,,,,,,,,,,
,Which is the only edible food that never goes bad?,Option a: Dried Fruit,Option b: Beans,Option c: Rice,Option d: Honey,,d,,,,,,,,,,,,,,
,Which country invented ice cream?,Option a: Germany,Option b: Japan,Option c: China,Option d: United State,,c,,,,,,,,,,,,,,
,What is Earth's largest continent?,Option a: Asia,Option b: North America,Option c: Europe,Option d: Africa,,a,,,,,,,,,,,,,,
,Area 51 is located in which U.S state?,Option a: Utah,Option b: Texas,Option c: Washington D.C,Option d: Nevada,,d,,,,,,,,,,,,,,
,"What in the state of Georgia, it's illegal to eat what with a fork?",Option a: Corn,Option b: Seafood Boil,Option c: Fried Chicken,Option d: Gumbo,,c,,,,,,,,,,,,,,
,What is a duel between three people called?,"Option a: ""King Of The Court""","Option b: ""A Free For All""",Option c: A TriDuel,Option d: A Truel,,d,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sports,What's the diameter of a basketball hoop in inches?,Option a: 18 Inches,Option b: 21 Inches,Option c: 16 Inches,Option d: 25 Inches,,a,,,,,,,,,,,,,,
,The Olympics are held every how many years?,Option a: 12 Years,Option b: 6 Years,Option c: 4 Years,Option d: 8 Years,,c,,,,,,,,,,,,,,
,What sport is best known as the 'king of sports'?,Option a: Hockey,Option b: Basketball,Option c: Football,Option d: Soccer,,d,,,,,,,,,,,,,,
,"Who has won more tennis grand slam titles, Venus Williams or Serena Williams?",Option a: Venus Williams,Option b: Serena Williams,,,,b,,,,,,,,,,,,,,
,What country has competed the most times in the Summer Olympics yet hasn't won any kind of medal?,Option a: Liechtenstein,Option b: Belize,Option c: Sierra Leone,Option d: Turkmenistan,,a,,,,,,,,,,,,,,
,How many holes are played in an average round of golf?,Option a: 15,Option b: 30,Option c: 18,Option d: 25,,c,,,,,,,,,,,,,,
,How long is a marathon? (In Miles),Option a: 24.9,Option b: 26.2,Option c: 30.1,Option d: 26.7,,b,,,,,,,,,,,,,,
,A sporting event is held every year on Memorial Day. What is it?,Option a: Darts,Option b: Indianapolis 500,Option c: Tennis,Option d: Handball,,b,,,,,,,,,,,,,,
,How old was Tiger Woods when he won the Masters?,Option a: 18 Years Old,Option b: 22 Years Old,Option c: 19 Years Old,Option d: 21 Years Old,,d,,,,,,,,,,,,,,
,How many Olympic games were held in countries that no longer exist?,Option a: 5 Games,Option b: 3 Games,Option c: 7 Games,Option d: 2 Games,,b,,,,,,,,,,,,,,
,What team won the very first NBA game in 1946?,Option a: Toronto Huskies,Option b: Seattle SuperSonics,Option c: Boston Celtics,Option d: New York Knickerbockers,,d,,,,,,,,,,,,,,
,What African country was the first ever to qualify for a World Cup?,Option a: Ghana,Option b: Senegal,Option c: Egypt,Option d: Cameroon,,c,,,,,,,,,,,,,,
,In what year were women allowed to compete in the modern Olympic games and in what sport?,"Option a: 1900, Tennis","Option b: 1896, Tennis","Option c: 1900, Golf","Option d: 1909, Soccer",,a,,,,,,,,,,,,,,
,"In what game is ""love"" a score?",Option a: Badminton,Option b: Bowling,Option c: Golf,Option d: Tennis,,d,,,,,,,,,,,,,,
,What country has competed the most times in the Summer Olympics yet hasn't won a gold medal?,Option a: Albania,Option b: Greece,Option c: Philippines,Option d: Norway,,c,,,,,,,,,,,,,,
